"Местное время в Ульяновске / Центральном (аэропорт)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"25.02.2020 19:00";"1.0";"733.0";"";"";"92";"Ветер, дующий с юга";"2";"";"";"100%.";" ";"";"";"";"1.9";"";"";"";"";"";"10.0";"";"3.0";"12";"";"";"";"";
"25.02.2020 16:00";"1.6";"733.0";"";"";"88";"Ветер, дующий с юга";"4";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"25.02.2020 13:00";"0.7";"735.0";"";"";"94";"Ветер, дующий с юго-востока";"3";"";"";"100%.";"Снег непрерывный умеренный в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"2.0";"";"";"";"";"";"";"";
"25.02.2020 10:00";"0.2";"737.0";"";"";"96";"Ветер, дующий с юго-востока";"4";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"25.02.2020 07:00";"-0.3";"739.0";"";"";"97";"Ветер, дующий с юго-востока";"3";"";"";"100%.";"Снег непрерывный умеренный в срок наблюдения. ";"";"";"-2.9";"";"";"";"";"";"";"2.0";"";"3.0";"12";"";"";"";"";
"25.02.2020 04:00";"-0.9";"740.0";"";"";"96";"Ветер, дующий с юго-востока";"3";"";"";"100%.";"Снег непрерывный умеренный в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"2.0";"";"";"";"";"";"";"";
"25.02.2020 01:00";"-1.2";"741.0";"";"";"84";"Ветер, дующий с юго-востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"24.02.2020 22:00";"-2.1";"741.0";"";"";"82";"Ветер, дующий с юго-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"24.02.2020 19:00";"-1.0";"741.0";"";"";"79";"Ветер, дующий с юго-запада";"1";"";"";"20–30%.";" ";"";"";"";"4.2";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"24.02.2020 16:00";"2.9";"740.0";"";"";"71";"Ветер, дующий с юга";"2";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"24.02.2020 13:00";"2.6";"740.0";"";"";"72";"Ветер, дующий с юго-запада";"3";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"24.02.2020 10:00";"0.5";"739.0";"";"";"87";"Ветер, дующий с юго-запада";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"24.02.2020 07:00";"-0.4";"738.0";"";"";"93";"Ветер, дующий с юго-запада";"3";"";"";"100%.";"Снег неливневый. ";"";"";"-0.8";"";"";"";"";"";"";"10.0";"";"1.0";"12";"";"";"";"";
"24.02.2020 04:00";"-0.6";"739.0";"";"";"94";"Ветер, дующий с юга";"3";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"24.02.2020 01:00";"-0.6";"741.0";"";"";"92";"Ветер, дующий с юга";"4";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"23.02.2020 22:00";"-0.6";"743.0";"";"";"82";"Ветер, дующий с юга";"6";"";"";"100%.";"Слабая или умеренная снежная низовая метель в целом высокая (выше уровня глаз наблюдателя). ";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"23.02.2020 19:00";"-0.7";"746.0";"";"";"83";"Ветер, дующий с юга";"5";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"0.3";"";"";"";"";"";"4.0";"";"0.7";"12";"";"";"";"";
"23.02.2020 16:00";"0.0";"749.0";"";"";"79";"Ветер, дующий с юга";"5";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"23.02.2020 13:00";"-1.5";"752.0";"";"";"88";"Ветер, дующий с юга";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"23.02.2020 10:00";"-5.6";"754.0";"";"";"93";"Ветер, дующий с юга";"3";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"23.02.2020 07:00";"-8.2";"755.0";"";"";"91";"Ветер, дующий с юга";"3";"";"";"100%.";" ";"";"";"-8.2";"";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"23.02.2020 04:00";"-5.5";"757.0";"";"";"83";"Ветер, дующий с юга";"4";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"23.02.2020 01:00";"-5.6";"759.0";"";"";"86";"Ветер, дующий с юга";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"22.02.2020 22:00";"-3.5";"760.0";"";"";"76";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"22.02.2020 19:00";"-2.3";"760.0";"";"";"80";"Ветер, дующий с юга";"1";"";"";"70 – 80%.";" ";"";"";"";"3.0";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"22.02.2020 16:00";"1.8";"761.0";"";"";"65";"Ветер, дующий с юга";"2";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"22.02.2020 13:00";"0.1";"761.0";"";"";"67";"Ветер, дующий с юга";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"22.02.2020 10:00";"-7.9";"761.0";"";"";"93";"Ветер, дующий с юга";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"22.02.2020 07:00";"-11.2";"760.0";"";"";"91";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"-11.2";"";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"22.02.2020 04:00";"-9.1";"760.0";"";"";"92";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"22.02.2020 01:00";"-7.6";"759.0";"";"";"94";"Ветер, дующий с юга";"1";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"21.02.2020 22:00";"-4.8";"759.0";"";"";"91";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"21.02.2020 19:00";"-1.9";"758.0";"";"";"85";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"2.6";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"21.02.2020 16:00";"2.2";"757.0";"";"";"72";"Ветер, дующий с юга";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"21.02.2020 13:00";"-0.8";"757.0";"";"";"79";"Ветер, дующий с юга";"2";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"21.02.2020 10:00";"-6.6";"757.0";"";"";"95";"Ветер, дующий с юга";"2";"";"";"40%.";" ";"";"";"-9.0";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"21.02.2020 07:00";"-8.2";"756.0";"";"";"94";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"-8.2";"";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"21.02.2020 04:00";"-6.2";"756.0";"";"";"92";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"21.02.2020 01:00";"-4.4";"756.0";"";"";"93";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"20.02.2020 22:00";"-3.0";"755.0";"";"";"84";"Ветер, дующий с запада";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"20.02.2020 19:00";"0.7";"754.0";"";"";"75";"Ветер, дующий с запада";"3";"";"";"20–30%.";" ";"";"";"";"3.5";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"20.02.2020 16:00";"3.4";"753.0";"";"";"72";"Ветер, дующий с запада";"3";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"20.02.2020 13:00";"2.9";"752.0";"";"";"73";"Ветер, дующий с запада";"4";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"20.02.2020 10:00";"1.6";"752.0";"";"";"83";"Ветер, дующий с юго-запада";"2";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"20.02.2020 07:00";"1.3";"751.0";"";"";"89";"Ветер, дующий с запада";"3";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"20.02.2020 04:00";"1.5";"750.0";"";"";"87";"Ветер, дующий с запада";"3";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"20.02.2020 01:00";"1.4";"750.0";"";"";"88";"Ветер, дующий с запада";"6";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"19.02.2020 22:00";"1.3";"749.0";"";"";"90";"Ветер, дующий с юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"19.02.2020 19:00";"1.2";"748.0";"";"";"90";"Ветер, дующий с юго-запада";"1";"";"";"100%.";" ";"";"";"";"1.6";"";"";"";"";"";"10.0";"";"Следы осадков";"12";"";"";"";"";
"19.02.2020 16:00";"1.4";"748.0";"";"";"89";"Ветер, дующий с юга";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"19.02.2020 13:00";"1.0";"748.0";"";"";"90";"Ветер, дующий с юго-запада";"3";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"19.02.2020 10:00";"0.5";"748.0";"";"";"90";"Ветер, дующий с юго-запада";"3";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"19.02.2020 07:00";"0.2";"748.0";"";"";"92";"Ветер, дующий с юга";"3";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"0.2";"";"";"";"";"";"";"10.0";"";"0.8";"12";"";"";"";"";
"19.02.2020 04:00";"0.7";"748.0";"";"";"86";"Ветер, дующий с юго-запада";"3";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"19.02.2020 01:00";"1.0";"749.0";"";"";"86";"Ветер, дующий с юго-запада";"3";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"18.02.2020 22:00";"0.7";"750.0";"";"";"94";"Ветер, дующий с юго-запада";"3";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"18.02.2020 19:00";"0.9";"751.0";"";"";"94";"Ветер, дующий с юго-запада";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"1.4";"";"";"";"";"";"10.0";"";"2.0";"12";"";"";"";"";
"18.02.2020 16:00";"1.2";"751.0";"";"";"91";"Ветер, дующий с юго-запада";"3";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"18.02.2020 13:00";"0.9";"751.0";"";"";"88";"Ветер, дующий с юго-запада";"4";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"18.02.2020 10:00";"0.6";"751.0";"";"";"83";"Ветер, дующий с юго-запада";"4";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"0.4";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"18.02.2020 07:00";"0.5";"752.0";"";"";"75";"Ветер, дующий с юго-запада";"3";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"0.5";"";"";"";"";"";"";"10.0";"";"Следы осадков";"12";"";"";"";"";
"18.02.2020 04:00";"2.1";"752.0";"";"";"64";"Ветер, дующий с юго-запада";"3";"";"";"100%.";"Дождь (незамерзающий) неливневый. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"18.02.2020 01:00";"2.4";"751.0";"";"";"62";"Ветер, дующий с юго-запада";"5";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"17.02.2020 22:00";"2.0";"751.0";"";"";"65";"Ветер, дующий с юго-запада";"6";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"17.02.2020 19:00";"2.3";"753.0";"";"";"62";"Ветер, дующий с юго-запада";"4";"";"";"90  или более, но не 100%";" ";"";"";"";"2.5";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"17.02.2020 16:00";"2.5";"755.0";"";"";"61";"Ветер, дующий с юго-запада";"4";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"17.02.2020 13:00";"1.7";"756.0";"";"";"69";"Ветер, дующий с юго-запада";"5";"";"";"90  или более, но не 100%";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"17.02.2020 10:00";"-0.3";"759.0";"";"";"84";"Ветер, дующий с юга";"3";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"17.02.2020 07:00";"-2.5";"760.0";"";"";"91";"Ветер, дующий с юга";"5";"";"";"100%.";" ";"";"";"-7.3";"";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"17.02.2020 04:00";"-4.5";"761.0";"";"";"89";"Ветер, дующий с юго-запада";"5";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"17.02.2020 01:00";"-6.9";"762.0";"";"";"88";"Ветер, дующий с юго-запада";"3";"";"";"60%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"16.02.2020 22:00";"-6.4";"763.0";"";"";"80";"Ветер, дующий с юга";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"16.02.2020 19:00";"-3.2";"764.0";"";"";"73";"Ветер, дующий с юга";"1";"";"";"70 – 80%.";" ";"";"";"";"0.4";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"16.02.2020 16:00";"-0.8";"764.0";"";"";"64";"Ветер, дующий с юга";"2";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"16.02.2020 13:00";"-1.2";"764.0";"";"";"68";"Ветер, дующий с запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"16.02.2020 10:00";"-3.1";"764.0";"";"";"93";"Ветер, дующий с юга";"1";"";"";"100%.";"Дымка. ";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"16.02.2020 07:00";"-4.3";"763.0";"";"";"93";"Штиль, безветрие";"0";"";"";"100%.";"Дымка. ";"";"";"-6.0";"";"";"";"";"";"";"4.0";"";"0.4";"12";"";"";"";"";
"16.02.2020 04:00";"-4.5";"762.0";"";"";"93";"Штиль, безветрие";"0";"";"";"100%.";"Дымка. ";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"16.02.2020 01:00";"-5.2";"761.0";"";"";"90";"Ветер, дующий с юго-востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"15.02.2020 22:00";"-5.7";"760.0";"";"";"90";"Штиль, безветрие";"0";"";"";"100%.";"Снег неливневый. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"15.02.2020 19:00";"-5.8";"759.0";"";"";"88";"Ветер, дующий с юго-востока";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"-5.2";"";"";"";"";"";"4.0";"";"0.3";"12";"";"";"";"";
"15.02.2020 16:00";"-5.4";"758.0";"";"";"79";"Ветер, дующий с юга";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"15.02.2020 13:00";"-7.3";"758.0";"";"";"78";"Ветер, дующий с юга";"2";"";"";"100%.";"Снег неливневый. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"15.02.2020 10:00";"-11.2";"758.0";"";"";"82";"Ветер, дующий с юга";"1";"";"";"60%.";"Снег неливневый. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"15.02.2020 07:00";"-14.0";"757.0";"";"";"85";"Ветер, дующий с юга";"1";"";"";"60%.";" ";"";"";"-18.1";"";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"15.02.2020 04:00";"-17.1";"756.0";"";"";"84";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"15.02.2020 01:00";"-17.2";"756.0";"";"";"85";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"14.02.2020 22:00";"-14.3";"755.0";"";"";"87";"Ветер, дующий с запада";"2";"";"";"60%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"14.02.2020 19:00";"-10.9";"754.0";"";"";"83";"Ветер, дующий с запада";"3";"";"";"20–30%.";" ";"";"";"";"-6.7";"";"";"";"";"";"10.0";"";"0.2";"12";"";"";"";"";
"14.02.2020 16:00";"-7.0";"753.0";"";"";"76";"Ветер, дующий с севера";"2";"";"";"60%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"14.02.2020 13:00";"-9.7";"752.0";"";"";"79";"Ветер, дующий с северо-запада";"2";"";"";"60%.";"Снег неливневый. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"14.02.2020 10:00";"-15.1";"751.0";"";"";"82";"Ветер, дующий с запада";"2";"";"";"60%.";" ";"";"";"-17.1";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"14.02.2020 07:00";"-17.0";"750.0";"";"";"83";"Ветер, дующий с запада";"2";"";"";"20–30%.";" ";"";"";"-17.0";"";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"14.02.2020 04:00";"-13.2";"750.0";"";"";"86";"Ветер, дующий с северо-запада";"1";"";"";"60%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"14.02.2020 01:00";"-10.6";"749.0";"";"";"75";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"13.02.2020 22:00";"-9.7";"749.0";"";"";"73";"Ветер, дующий с востока";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"13.02.2020 19:00";"-7.7";"749.0";"";"";"80";"Ветер, дующий с востока";"2";"";"";"60%.";" ";"";"";"";"-5.6";"";"";"";"";"";"10.0";"";"Следы осадков";"12";"";"";"";"";
"13.02.2020 16:00";"-6.0";"749.0";"";"";"77";"Ветер, дующий с юго-востока";"3";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"13.02.2020 13:00";"-7.0";"749.0";"";"";"79";"Ветер, дующий с юго-востока";"3";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"13.02.2020 10:00";"-9.1";"749.0";"";"";"84";"Ветер, дующий с юго-востока";"2";"";"";"70 – 80%.";"Снег неливневый. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"13.02.2020 04:00";"-9.1";"749.0";"";"";"81";"Ветер, дующий с юга";"3";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"13.02.2020 01:00";"-9.5";"750.0";"";"";"79";"Ветер, дующий с юга";"1";"";"";"60%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"12.02.2020 22:00";"-8.1";"750.0";"";"";"74";"Ветер, дующий с юга";"2";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"12.02.2020 19:00";"-6.4";"750.0";"";"";"60";"Ветер, дующий с юга";"2";"";"";"70 – 80%.";" ";"";"";"";"-3.2";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"12.02.2020 16:00";"-3.5";"750.0";"";"";"53";"Ветер, дующий с юга";"2";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"12.02.2020 13:00";"-5.9";"751.0";"";"";"62";"Ветер, дующий с юга";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"12.02.2020 10:00";"-8.5";"750.0";"";"";"72";"Ветер, дующий с юго-запада";"3";"";"";"90  или более, но не 100%";"Облака в целом образовывались или развивались. ";"";"";"-10.1";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"12.02.2020 07:00";"-10.0";"750.0";"";"";"68";"Ветер, дующий с юга";"5";"";"";"60%.";"Облака в целом образовывались или развивались. ";"";"";"-10.0";"";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"12.02.2020 04:00";"-7.9";"749.0";"";"";"58";"Ветер, дующий с юго-запада";"5";"";"";"20–30%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"12.02.2020 01:00";"-6.7";"749.0";"";"";"59";"Ветер, дующий с юга";"4";"";"";"20–30%.";"Облака в целом образовывались или развивались. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"11.02.2020 22:00";"-5.4";"748.0";"";"";"64";"Ветер, дующий с юга";"5";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"11.02.2020 19:00";"-3.9";"748.0";"";"";"66";"Ветер, дующий с юга";"3";"";"";"40%.";" ";"";"";"";"-2.2";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"11.02.2020 16:00";"-2.3";"748.0";"";"";"62";"Ветер, дующий с юго-запада";"5";"";"";"60%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"11.02.2020 13:00";"-5.0";"748.0";"";"";"57";"Ветер, дующий с юго-запада";"4";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"11.02.2020 10:00";"-7.3";"747.0";"";"";"55";"Ветер, дующий с юга";"2";"";"";"70 – 80%.";" ";"";"";"-8.4";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"11.02.2020 07:00";"-7.8";"747.0";"";"";"61";"Ветер, дующий с юго-запада";"3";"";"";"60%.";" ";"";"";"-7.8";"";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"11.02.2020 04:00";"-6.8";"747.0";"";"";"58";"Ветер, дующий с юго-запада";"4";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"11.02.2020 01:00";"-5.4";"747.0";"";"";"69";"Ветер, дующий с юго-запада";"3";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"10.02.2020 22:00";"-5.1";"748.0";"";"";"75";"Ветер, дующий с юго-запада";"3";"";"";"90  или более, но не 100%";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"10.02.2020 19:00";"-5.2";"749.0";"";"";"78";"Ветер, дующий с юго-запада";"3";"";"";"70 – 80%.";" ";"";"";"";"-3.1";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"10.02.2020 16:00";"-3.7";"749.0";"";"";"71";"Ветер, дующий с юго-запада";"3";"";"";"60%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"10.02.2020 13:00";"-5.2";"750.0";"";"";"76";"Ветер, дующий с запада";"7";"";"";"70 – 80%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"10.02.2020 10:00";"-6.3";"750.0";"";"";"79";"Ветер, дующий с запада";"6";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"10.02.2020 07:00";"-7.3";"751.0";"";"";"80";"Ветер, дующий с запада";"6";"";"";"100%.";" ";"";"";"-14.3";"";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"10.02.2020 04:00";"-9.5";"752.0";"";"";"73";"Ветер, дующий с юго-запада";"3";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"10.02.2020 01:00";"-11.6";"754.0";"";"";"74";"Ветер, дующий с юго-запада";"3";"";"";"90  или более, но не 100%";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"09.02.2020 22:00";"-12.5";"755.0";"";"";"80";"Ветер, дующий с юго-запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"09.02.2020 19:00";"-12.7";"756.0";"";"";"79";"Ветер, дующий с юго-запада";"3";"";"";"60%.";" ";"";"";"";"-11.2";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"09.02.2020 16:00";"-12.8";"757.0";"";"";"70";"Ветер, дующий с юго-запада";"2";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
